temperature,co2,time,humidity,motion,person_count,light
218,459,1513267518869360952,32,1,12,61
218,431,1513267698859075684,32,0,12,60
218,451,1513267758865057165,32,1,12,60
218,432,1513267818855058376,32,2,12,59
218,434,1513267878860451371,32,2,12,58
218,433,1513268058832851352,32,1,12,62
218,429,1513268118829770340,32,0,12,62
218,436,1513268178830782828,32,0,12,62
218,418,1513268238828833192,32,0,12,62
218,426,1513268298825028402,32,2,12,62
218,408,1513268358818413387,31,1,12,62
218,416,1513268418830820493,32,3,12,62
218,421,1513268478816585772,31,1,12,62
217,421,1513268538811169112,32,0,12,62
217,428,1513268598806028074,32,2,12,62
217,421,1513268658802653775,32,0,12,62
217,428,1513268718803243123,32,0,12,62
218,425,1513268778793193407,32,0,12,61
217,429,1513268838794351888,32,1,12,62
217,424,1513268898809712046,32,3,8,62
218,427,1513268958785909684,32,0,8,61
218,419,1513269018792407197,32,0,8,61
218,412,1513269078779320437,32,1,8,61
218,432,1513269138777648500,32,0,8,61
217,426,1513269198779540768,32,0,8,61
218,425,1513269258767047114,32,2,8,60
217,437,1513269318757051466,32,0,8,61
218,431,1513269438757434425,32,2,8,60
217,442,1513269498749538679,32,1,8,61
218,427,1513269558749672817,32,3,8,61
217,412,1513269618765925361,32,1,8,61
217,406,1513269738739478732,32,0,8,61
217,414,1513269798761858154,32,0,8,61
217,404,1513269858732125748,32,2,8,60
217,402,1513269918732894120,32,1,8,60
217,432,1513269978723534169,32,0,8,60
217,405,1513270038720593406,32,2,8,60
217,419,1513270098719421234,32,0,8,60
217,421,1513270158712505554,32,1,8,60
216,409,1513270218710731382,32,2,8,60
217,404,1513270278709597667,32,0,8,61
217,409,1513270338697141226,32,0,8,61
217,407,1513270398705877575,32,0,8,60
216,396,1513270458700817529,32,0,8,61
216,401,1513270518689811568,32,0,8,61
216,408,1513270578689918128,32,1,8,59
216,403,1513270638680266195,32,0,8,59
216,415,1513270698682546655,32,2,8,61
216,425,1513270758678457108,32,1,8,60
217,410,1513270818678807449,32,2,8,60
217,438,1513270878674277540,32,1,8,60
217,426,1513270938666610310,33,0,8,61
217,448,1513270998658316999,33,2,8,62
216,453,1513271058790118941,33,1,8,62
216,503,1513271118653978854,33,2,8,61
215,487,1513271178655270822,33,1,8,60
215,527,1513271238648463734,33,2,8,58
215,540,1513271298645884210,33,1,8,60
215,598,1513271358640726420,34,3,8,63
214,561,1513271418641385434,34,1,8,64
214,564,1513271478637912895,34,2,8,65
213,581,1513271538628839836,34,1,8,65
213,561,1513271598630082127,34,2,8,66
213,548,1513271658619938583,34,1,8,67
213,565,1513271718696674050,34,0,8,66
213,562,1513271778625481991,34,2,8,67
212,549,1513271838610852799,34,0,8,67
212,563,1513271898609924573,34,0,8,67
213,576,1513271958666949049,34,0,8,67
212,576,1513272018603756229,34,0,8,67
213,564,1513272078595125995,34,0,8,67
212,574,1513272138594282383,34,2,8,65
213,576,1513272198585179565,34,1,8,69
213,576,1513272258584467730,34,2,8,70
213,568,1513272318583685686,34,0,8,71
213,560,1513272378581882403,34,0,8,71
213,561,1513272438570997388,34,0,8,71
217,528,1513339814582359782,33,0,7,88
217,523,1513339874584218754,33,0,7,87
218,524,1513339934590551631,33,0,7,89
217,514,1513339994572783294,33,0,7,87
217,509,1513340054577958031,33,1,7,87
217,518,1513340174561227320,33,2,7,90
217,527,1513340294549422758,34,2,7,92
217,531,1513340354553141856,34,1,7,91
217,550,1513340534544522328,34,0,7,90
217,552,1513340594572649322,34,0,7,90
217,533,1513340654542022337,34,0,7,91
218,542,1513340714548096601,34,1,7,90
217,550,1513340774523351386,34,0,7,87
217,550,1513341014516876399,34,0,7,86
218,555,1513341074512114797,34,2,7,85
218,566,1513341134501191045,34,1,7,83
218,565,1513341194511969828,34,0,7,82
217,581,1513341254495161871,34,2,7,82
218,582,1513341314491821216,34,0,7,80
218,597,1513341374490601713,34,1,7,79
218,582,1513341554486287943,34,1,7,77
219,576,1513342034540035714,34,3,7,85
218,579,1513342154452279510,34,2,7,84
218,576,1513342274443100216,34,1,10,83
218,583,1513342334436477279,34,0,10,83
219,579,1513342454431528823,34,1,10,82
219,573,1513342514425521732,34,0,10,81
219,562,1513342574426645591,34,2,10,80
219,572,1513342754405418035,34,2,10,82
219,587,1513342814536915849,34,1,10,82
219,577,1513342934401409579,34,0,10,81
219,569,1513342994404585136,34,2,10,82
219,561,1513343054395618865,34,0,10,82
219,579,1513343114390655634,34,1,10,81
219,584,1513343174385044737,34,2,10,81
219,582,1513343234387527196,34,1,10,81
219,586,1513343294380797702,34,0,10,81
219,587,1513343354382858400,33,0,10,80
219,582,1513343414371715950,34,3,10,79
219,609,1513343474364943878,34,2,10,80
219,603,1513343534372557352,34,1,10,79
219,620,1513343594358969873,34,0,10,80
219,603,1513343654363314460,34,3,10,78
219,598,1513343714352455580,34,0,10,78
219,604,1513343774349723505,34,1,10,78
219,611,1513343834353640453,34,0,10,77
219,609,1513343894340454750,34,0,10,77
219,623,1513343954346016267,34,0,10,76
219,630,1513344014341065766,34,0,10,76
220,612,1513344074337569452,34,0,10,76
220,613,1513344134330821513,34,0,10,76
220,613,1513344194323220515,34,0,10,77
220,628,1513344254332028501,34,2,10,76
220,607,1513344314324449276,34,1,10,76
220,613,1513344374313123991,34,2,10,75
219,609,1513344434309290692,34,0,10,75
220,611,1513344494309489026,34,0,10,75
220,609,1513344554341267953,34,0,10,75
220,607,1513344614299692747,34,1,10,74
220,619,1513344674299171504,34,2,10,74
220,613,1513344734293300003,34,0,10,74
220,609,1513344794291745076,34,1,10,74
220,621,1513344854298077489,34,3,10,72
220,628,1513344914787303537,34,0,10,72
220,629,1513344974278508779,34,0,10,72
221,646,1513345034285306015,34,1,10,72
220,638,1513345094272788614,34,0,10,72
220,656,1513345154283262918,34,0,10,72
221,651,1513345214259632544,34,2,10,72
220,670,1513345274264677295,34,0,10,73
220,647,1513345334254010463,34,1,10,74
220,670,1513345394250732408,34,2,10,73
220,709,1513345514259129638,35,1,10,71
220,687,1513345574251418225,35,2,6,71
220,682,1513345634242906371,35,2,7,68
220,684,1513345694242146161,35,1,7,70
220,686,1513345754237761009,35,0,7,70
219,649,1513345814233194661,35,2,7,68
219,653,1513345874233898926,35,0,7,68
219,661,1513345934221566002,35,1,7,68
219,640,1513345994218742772,35,2,7,68
219,613,1513346054215844457,34,2,7,69
219,567,1513346114215503128,34,0,7,67
220,566,1513346174220663015,34,0,7,67
220,564,1513346234209091373,33,0,7,67
221,552,1513346294203378468,33,1,7,67
222,539,1513346354199877768,33,0,7,67
222,538,1513346414201451562,33,2,7,66
223,542,1513346474194633935,33,1,7,66
223,521,1513346534220057414,33,0,7,66
223,529,1513346594183330855,33,0,7,66
224,518,1513346654186720074,32,2,7,66
224,517,1513346714184306604,32,1,7,66
225,520,1513346774177210799,32,0,7,66
225,513,1513346834172980342,32,2,7,66
226,504,1513346894170299858,32,0,7,66
226,502,1513346954175905141,32,0,7,67
226,493,1513347014159131068,32,1,7,67
226,498,1513347074157520327,32,0,6,67
227,495,1513347194167843910,32,3,6,67
227,506,1513347254141786200,32,0,6,67
227,513,1513347314147282659,32,1,6,67
227,536,1513347374134571530,32,2,6,67
227,529,1513347434131151932,32,0,6,68
226,510,1513347494129406345,32,1,7,68
227,519,1513347554132415596,32,2,7,67
227,542,1513347614119784646,32,1,12,66
226,542,1513347674124849148,32,0,12,67
226,570,1513347734125244124,32,2,10,67
226,565,1513347794112976820,32,1,11,66
226,573,1513347854112143523,32,3,12,66
226,588,1513347914105749769,32,0,11,67
226,594,1513347974109571776,32,0,11,68
226,586,1513348034096673293,32,1,13,67
226,584,1513348094119199306,32,2,13,67
227,596,1513348154092221990,32,0,13,67
226,590,1513348214318703597,32,1,13,67
