temperature,humidity,time,motion,light,person_count,co2
221,38,1516007699802408288,0,32,1,390
221,38,1516007759789664622,0,34,1,392
221,38,1516007819793129959,0,37,1,386
220,38,1516007879788848669,0,43,1,391
220,38,1516007939788523926,0,45,1,397
221,38,1516007999804058425,0,42,1,391
221,38,1516008059779997807,0,48,1,392
220,38,1516008119901739932,0,58,1,393
221,38,1516008179771952767,0,63,1,385
221,38,1516008239770034195,0,67,1,391
221,38,1516008299769269683,0,75,1,391
221,38,1516008359762415488,0,61,1,390
221,38,1516008419759926428,0,53,1,393
221,38,1516008479756832221,0,51,1,391
221,38,1516008539747741102,0,46,1,388
220,38,1516008599783667388,0,46,1,390
221,38,1516008659839590404,0,44,1,387
221,38,1516008719742657598,0,42,1,386
220,38,1516008779751847158,0,42,1,396
220,38,1516008839729245452,0,41,1,388
220,38,1516008899729441633,0,41,1,384
220,38,1516008959822873370,0,42,1,388
220,38,1516009019820977071,0,40,1,390
220,38,1516009079749659509,0,36,1,382
221,38,1516009139934493529,0,30,1,401
218,38,1516013939453204760,0,34,1,382
219,38,1516013999439908884,0,29,1,384
219,38,1516014059473910156,0,31,1,380
219,37,1516014119473538972,0,29,1,379
218,37,1516014179495657906,0,27,1,383
218,37,1516014239418643876,0,24,1,384
218,37,1516014299451944420,0,22,1,385
218,37,1516014359406199725,0,19,1,395
218,37,1516014419404169945,0,19,1,387
218,37,1516014479398134476,0,18,1,382
218,37,1516014539406157394,0,17,1,383
218,37,1516014599411063671,0,17,1,385
218,37,1516014659415276712,0,13,1,380
218,37,1516014719479369530,0,12,1,393
218,37,1516014779490195842,0,14,1,380
218,37,1516014839607808805,0,17,1,385
218,37,1516014899476640368,0,18,1,386
218,37,1516014959480753117,0,22,1,383
218,37,1516015019475738384,0,26,1,382
218,37,1516015079709502801,0,26,4,392
218,37,1516015139467281078,0,24,4,378
218,37,1516015199461196743,0,29,4,379
218,37,1516015259448289196,0,30,4,385
218,37,1516015319467146099,0,26,4,384
218,37,1516015379412300874,0,19,4,384
217,37,1516015439354878845,0,15,4,383
218,37,1516015499351593651,0,17,4,380
218,37,1516015559334222033,0,17,4,386
217,37,1516015619337179470,0,19,4,381
217,37,1516015679336518195,0,18,4,375
217,37,1516015739322673555,0,17,4,381
217,37,1516015799328104123,0,20,4,380
217,37,1516015859628202978,0,21,4,383
217,37,1516015919317699070,0,17,4,381
217,37,1516015979349458704,0,19,4,385
217,37,1516016039318398569,0,25,4,390
218,37,1516016099305425218,0,30,4,388
217,37,1516016159304962964,0,32,4,382
217,37,1516016219302589294,0,27,4,383
217,37,1516016279292724974,0,27,4,396
217,37,1516016339288824088,0,25,4,381
217,37,1516016399300015975,0,29,4,382
217,37,1516016459284603199,0,37,4,392
217,37,1516016519285844319,0,39,4,381
217,37,1516016579290896650,0,35,4,381
217,37,1516016639277708151,0,28,4,388
217,37,1516016699298247904,0,24,4,383
217,37,1516016759266083457,0,22,4,389
217,37,1516016819276111503,0,26,4,379
217,37,1516016879262941760,0,39,4,384
217,37,1516016939267111456,0,42,4,385
217,37,1516016999255716780,0,34,4,380
217,37,1516017059246808893,0,33,4,381
217,37,1516017119245568484,0,31,4,387
217,37,1516017179292442713,0,33,4,394
217,37,1516017239247702230,0,34,4,381
217,37,1516017299245406546,0,33,4,387
217,37,1516017359245681250,0,51,4,381
217,37,1516017419240811947,0,62,4,391
217,37,1516017479235580113,0,92,4,389
217,37,1516017539234292943,0,119,4,394
217,37,1516017599211937229,0,113,4,382
217,37,1516017659220908633,0,103,4,387
217,37,1516017719216987001,0,106,4,387
218,37,1516017779205015430,0,100,4,382
217,37,1516017839206714684,0,90,4,386
217,37,1516017899202727947,0,86,4,384
217,37,1516017959208009974,0,100,4,382
217,37,1516018019198466051,0,104,4,387
218,37,1516018079190111565,0,92,4,390
218,37,1516018139198257156,0,68,4,385
217,37,1516018199194036578,0,51,4,384
217,37,1516018259195573591,0,49,4,384
