time,person_count
28/02/2018 14:48:05,2
28/02/2018 14:48:07,1
28/02/2018 14:48:08,0
28/02/2018 14:53:11,0
28/02/2018 14:58:14,0
28/02/2018 15:03:18,0
28/02/2018 15:08:21,0
28/02/2018 15:13:25,0
28/02/2018 15:18:28,0
28/02/2018 15:23:31,0
28/02/2018 15:28:35,0
28/02/2018 15:33:38,0
28/02/2018 15:38:42,0
28/02/2018 15:43:45,0
01/03/2018 09:54:49,1
01/03/2018 09:59:53,1
01/03/2018 10:04:56,1
01/03/2018 10:09:59,1
01/03/2018 10:15:03,1
01/03/2018 10:20:06,1
01/03/2018 10:25:10,1
01/03/2018 10:30:13,1
01/03/2018 10:35:17,1
01/03/2018 10:40:20,1
01/03/2018 10:45:24,1
01/03/2018 10:45:32,2
01/03/2018 10:45:33,3
01/03/2018 10:45:34,4
01/03/2018 10:45:35,5
01/03/2018 10:45:57,4
01/03/2018 10:45:57,3
01/03/2018 10:45:58,2
01/03/2018 10:45:58,1
01/03/2018 10:45:59,0
01/03/2018 10:51:02,0
01/03/2018 10:56:06,0
01/03/2018 11:01:09,0
01/03/2018 11:06:13,0
01/03/2018 11:11:16,0
01/03/2018 11:16:19,0
01/03/2018 11:21:23,0
01/03/2018 11:26:26,0
01/03/2018 11:31:30,0
01/03/2018 11:36:33,0
01/03/2018 11:41:37,0
01/03/2018 11:46:37,1
01/03/2018 11:46:38,2
01/03/2018 11:46:39,3
01/03/2018 11:46:39,4
01/03/2018 11:46:40,5
01/03/2018 11:46:54,4
01/03/2018 11:46:55,3
01/03/2018 11:46:55,2
01/03/2018 11:46:56,1
01/03/2018 11:46:57,0
01/03/2018 11:52:01,0
01/03/2018 11:57:04,0
01/03/2018 12:02:08,0
01/03/2018 12:07:11,0
01/03/2018 12:12:14,0
01/03/2018 12:17:18,0
01/03/2018 12:22:21,0
01/03/2018 12:27:25,0
01/03/2018 12:32:28,0
01/03/2018 12:37:32,0
01/03/2018 12:42:35,0
02/03/2018 13:01:40,1
02/03/2018 13:06:43,1
02/03/2018 13:11:46,1
02/03/2018 13:16:50,1
02/03/2018 13:21:53,1
02/03/2018 13:26:57,1
02/03/2018 13:32:00,1
02/03/2018 13:37:04,1
02/03/2018 13:42:07,1
02/03/2018 13:46:48,0
02/03/2018 13:51:52,0
02/03/2018 13:56:55,0
02/03/2018 14:01:58,0
02/03/2018 14:07:02,0
02/03/2018 14:12:05,0
02/03/2018 14:17:09,0
02/03/2018 14:22:12,0
02/03/2018 14:27:16,0
02/03/2018 14:32:19,0
02/03/2018 14:37:22,0
05/03/2018 08:51:20,1
05/03/2018 08:56:24,1
05/03/2018 08:57:09,2
05/03/2018 08:58:41,3
05/03/2018 09:03:39,3
05/03/2018 09:08:42,3
05/03/2018 09:13:46,3
05/03/2018 09:18:49,3
05/03/2018 09:23:53,3
05/03/2018 09:28:56,3
05/03/2018 09:34:00,3
05/03/2018 09:39:03,3
05/03/2018 09:44:07,3
05/03/2018 09:49:10,3
05/03/2018 09:54:13,3
05/03/2018 09:59:17,3
05/03/2018 10:04:20,3
05/03/2018 10:09:24,3
05/03/2018 10:14:27,3
05/03/2018 10:19:30,3
05/03/2018 10:24:34,3
05/03/2018 10:29:37,3
05/03/2018 10:34:41,3
05/03/2018 10:35:16,4
05/03/2018 10:35:16,3
05/03/2018 10:40:20,3
05/03/2018 10:45:23,3
05/03/2018 10:47:36,2
05/03/2018 10:47:36,1
05/03/2018 10:47:37,0
05/03/2018 10:52:40,0
05/03/2018 10:57:44,0
05/03/2018 11:02:47,0
05/03/2018 11:07:50,0
05/03/2018 11:12:54,0
05/03/2018 11:17:57,0
05/03/2018 11:23:01,0
05/03/2018 11:28:04,0
05/03/2018 11:33:08,0
05/03/2018 11:38:11,0
05/03/2018 11:43:15,0
05/03/2018 13:00:26,1
05/03/2018 13:00:33,2
05/03/2018 13:00:35,3
05/03/2018 13:00:37,4
05/03/2018 13:00:40,5
05/03/2018 13:00:52,6
05/03/2018 13:00:52,7
05/03/2018 13:00:52,8
05/03/2018 13:02:38,9
05/03/2018 13:02:38,10
05/03/2018 13:02:39,11
05/03/2018 13:03:43,12
05/03/2018 13:08:47,12
05/03/2018 13:13:50,12
05/03/2018 13:18:54,12
05/03/2018 13:23:57,12
05/03/2018 13:29:01,12
05/03/2018 13:34:04,12
05/03/2018 13:36:03,11
05/03/2018 13:36:03,10
05/03/2018 13:36:05,9
05/03/2018 13:36:23,8
05/03/2018 13:36:28,7
05/03/2018 13:36:28,6
05/03/2018 13:36:28,5
05/03/2018 13:36:28,4
05/03/2018 13:36:29,3
05/03/2018 13:36:29,2
05/03/2018 13:36:30,1
05/03/2018 13:36:30,0
05/03/2018 13:41:34,0
05/03/2018 13:46:37,0
05/03/2018 13:51:41,0
05/03/2018 13:56:44,0
05/03/2018 14:01:48,0
05/03/2018 14:06:51,0
05/03/2018 14:11:54,0
05/03/2018 14:16:58,0
05/03/2018 14:22:01,0
05/03/2018 14:27:05,0
05/03/2018 14:32:08,0
