co2,co2_derived,co2_smoothed,humidity,light,motion,temperature,person_count
550,-0.00428598912697494,556.2,34,90,1,214,8
551,-0.009333956086064675,555.4,34,89,0,214,8
550,-0.03267832142749242,552.0,33,88,0,214,8
549,-0.04166944546322475,547.8,34,87,0,214,8
546,-0.016665156270481388,549.2,34,81,1,215,8
559,-0.01047655882530205,551.0,34,75,2,215,9
581,0.011905773782985999,557.0,34,74,0,214,9
575,0.033810997007509926,562.0,34,73,1,214,9
587,0.08502583574002506,569.6,34,72,0,215,8
587,0.11167258602961419,577.8,34,68,2,214,10
612,0.1046706290886767,588.4,34,66,2,215,10
621,0.1146436156950228,596.4,34,60,1,215,10
615,0.1160092080590365,604.4,34,61,2,215,10
627,0.11534203111645747,612.4,34,62,1,215,10
628,0.13416836524173303,620.6,34,63,2,215,10
661,0.11337074873513162,630.4,35,67,2,215,12
701,0.14000590025017934,646.4,35,67,1,216,12
698,0.14056207171009358,663.0,35,73,0,215,12
694,0.15501714516235282,676.4,35,73,0,216,12
667,0.17934432710487275,684.2,35,71,1,216,12
663,0.1273443750169656,684.6,35,67,2,215,12
667,0.06167378342649226,677.8,35,66,1,216,9
657,-0.028334072398879914,669.6,35,64,2,216,10
663,-0.08667124710845471,663.4,35,64,0,216,10
649,-0.10333995432690243,659.8,35,64,1,215,10
647,-0.08833470885610684,656.6,35,63,0,215,10
653,-0.06583664709865931,653.8,35,64,2,215,10
661,-0.036664436860059935,654.6,35,63,0,216,10
635,-0.045001844183679494,649.0,35,64,1,215,10
633,-0.045004351768486425,645.8,35,64,0,215,10
639,-0.04000079418805466,644.2,35,63,0,215,10
632,-0.060844670404751985,640.0,35,63,2,216,10
638,-0.056656500743011026,635.4,34,62,1,216,10
650,-0.03082956499721956,638.4,35,62,2,216,10
639,-0.019168652231034516,639.6,35,62,1,216,8
648,0.0058336516469557256,641.4,35,62,2,216,8
635,0.027507962838136505,642.0,35,63,0,216,8
637,0.014169532531812572,641.8,34,63,1,216,8
636,-0.0025001588937295692,639.0,34,63,0,216,8
628,-0.01916806619815978,636.8,34,63,0,217,8
620,-0.045002784126385115,631.2,34,62,0,216,8
632,-0.04666949525731291,630.6,34,61,0,217,8
628,-0.04250258693198256,628.8,34,61,0,217,8
616,-0.05000320494848815,624.8,34,61,0,217,8
620,-0.03333573110263595,623.2,34,60,3,217,8
621,-0.030001377049709753,623.4,34,61,0,217,8
601,-0.03866850361013644,617.2,34,61,1,217,8
585,-0.05400348362029528,608.6,33,60,0,217,8
544,-0.0966687354212661,594.2,32,60,0,218,8
531,-0.1566819177028325,576.4,32,60,0,218,8
542,-0.2358520207020832,560.6,32,59,0,219,8
532,-0.2575117856517206,546.8,32,60,2,220,8
516,-0.25502784135897805,533.0,31,60,1,221,8
